Croatian,English,Word Frequency
čuo,heard,69696
trebali,need,69655
dobio,got,69442
ovde,here,69441
pogledaj,look at,69369
učinio,done,69305
odavde,from here,69259
koga,whom,68821
hoću,I will,68805
brzo,quickly,68589
moju,mine,68501
protiv,against,68479
nećeš,You won't,68358
loše,bad,68256
super,super,68030
dijete,child,67631
g.,Mr.,67230
mislila,thought,67107
znamo,We know,67012
večeras,tonight,66960
vjerojatno,probably,66086
par,couple,66051
unutra,in,65972
pomoć,help,65923
sviđa,like,65526
nama,us,65483
mislite,you think,65130
dio,part,64842
nadam,Hope,64681
tom,that,64556
jednu,one,64520
isto,also,64366
dvije,two,64344
auto,a car,64341
istina,truth,64014
ovu,this one,62977
neko,some,62593
uh,uh,62279
imala,had,62068
napraviti,to make,61966
mali,little,61795
imaju,they have,61509
njegov,his,61101
ljude,people,61094
dolje,down,60453
kažeš,You say,60436
minuta,minute,60391
trebalo,needed,60247
ovako,like this,60178
bismo,we would,60118
ko,who,60077
prvo,first,59576
rekli,said,59499
mog,mine,59480
uz,with,59371
tip,type,59343
vaše,your,59328
imali,had,59278
sto,what,59214
preko,over it,59083
van,out,58770
ovom,to this one,58604
naše,our,58149
trebala,should,58073
ovog,this one,57962
vjerujem,I belive,57900
otišao,had gone,57750
jedno,One,57701
kuće,houses,57052
dati,give,56955
misli,he thinks,56666
pravi,real,56380
dolazi,is coming,56369
zove,He calls,55883
mrtav,dead,55729
morate,you have to,55560
broj,number,55060
majka,mother,55042
prijatelj,friend,55025
htjela,wanted,54830
one,they,54652
dao,gave,54565
radio,the radio,54447
ruke,hands,54369
kasnije,later,54082
vjerovati,believe,53976
vidjela,saw,53784
natrag,back,53741
pet,five,53734
jednostavno,simply,53532
razumijem,I understand,53502
pusti,let go,53468
ostati,stay,52944
veliki,a big,52928
jednog,one,52809
novi,new,52804
obitelj,family,52584
tog,that,52516
nekoga,someone,52508
kakav,what,52472
gotovo,It's over,52009
onaj,that,51955
svojim,my,51710
veze,ties,51394
govori,speaks,51382
poslije,after,51334
iza,behind,51323
nju,her,50880
napravio,did,50356
posla,jobs,50308
života,life,49780
stari,Old,49620
došli,came,49482
budi,Be,49455
l,l,49026
važno,important,48667
hoće,they will,48550
ipak,still,48306
drugo,else,48197
svog,your own,48196
pitanje,Question,48006
uopće,at all,47848
zaista,really,47655
njemu,him,47413
znala,she knew,47409
cijeli,whole,47033
ideš,You're going,46981
vaša,your,46923
prestani,Cut it out,46898
trebamo,We need,46702
osjećam,I feel,46571
njima,to them,46568
njom,her,46439
želio,wished,46423
sin,son,46286
problema,problems,46163
vezi,relationship,45745
njegova,his,45675
sama,alone,45670
jest,Yes,45577
trebaš,You need,45567
također,also,45538
žene,women,45520
sati,hours,45389
tada,then,45158
trenutak,the moment,44947
jutro,morning,44716
bog,god,44663
čovjeka,man,44638
vidjeli,saw,44587
vrati,Return,44568
tvoju,your,44421
valjda,I guess,44319
između,between,44165
biste,you would,43933
dolara,dollars,43915
priča,Story,43552
briga,care,43514
volio,loved,43477
pronaći,find,43382
uzeti,take,43276
slučaj,case,43228
stani,Stop,43059
najbolje,the best,42973
morao,had to,42963
bar,bar,42232
uskoro,Soon,42185
uzmi,Take,42140
gledaj,watch,42068
ha,Ha,42055
spreman,ready,42011
ozbiljno,seriously,41996
voli,loves,41975
jasno,clear,41946
oca,father,41804
noći,nights,41786
svijet,world,41767
srce,heart,41656
riječ,word,41649
sebi,to yourself,41588
drži,holds,41583
sat,a watch,41565
kuću,house,41559
čudno,Strange,41440
prijatelji,friends,41424
gde,where,41395
ovim,to this,41327
jedini,only,41260
sigurna,safe,41225
došla,came,41137
osoba,person,41073
ovoga,this,41028
zvuči,sounds,40754
sjajno,great,40625
dr,Dr.,40596
potpuno,completely,40444
ce,Ce,40442
mom,Mom,40440
moći,be able,40357
žele,jelly,40338
čega,what,40338
odlično,Great,40224
druge,others,40178
veoma,very,40135
prilično,quite,39989
grad,city,39894
našao,found,39799
tek,only,39694
naša,our,39681
budem,I will,39616
ženu,a woman,39531
životu,to life,39495
sretan,happy,38855
nemaš,You don't have,38813
halo,halo,38757
oči,eyes,38726
glavu,head,38714
kojeg,which,38690
nećemo,We won't,38613
nekog,Someone,38565
ikada,ever,38312
stalno,constantly,38244
slučaju,case,38221
lako,easy,38210
dečki,boys,38203
strane,sides,38192
četiri,four,38184
svijetu,to the world,37887
vidite,see,37883
sata,hours,37865
velika,big,37811
ideja,idea,37734
najbolji,best,37654
pred,before,37587
dvoje,two,37574
ljudima,people,37490
obitelji,families,37476
skoro,almost,37474
ljubav,love,37446
blizu,near,37282
nemojte,do not,37221
svih,all,37127
e,e,37114
nemamo,we do not have,37082
jesu,are,36986
kraj,end,36981
vani,out there,36948
oružje,weapon,36882
momci,guys,36750
negdje,somewhere,36649
smrti,death,36536
ponekad,sometimes,36528
brat,brother,36522
plan,plan,36521
ruku,hand,36475
ponovno,again,36428
pola,half,36425
dečko,boy,36414
vratio,back,36331
brod,ship,36322
pretpostavljam,I guess,36248
moguće,possible,36222
policija,police,36175
k,k,36132
moglo,could,36120
kamo,where to,35892
znaju,they know,35814
rade,Rade,35814
prava,rights,35682
svom,to your own,35661
djevojka,a girl,35656
pojma,term,35640
radite,doing,35562
brini,worry,35403
razlog,reason,35354
mjesta,places,35318
sinoć,last night,35303
pištolj,handgun,35269
niti,nor,35248
tijelo,body,35173
kažu,they say,34979
daleko,far,34973
lice,face,34961
tjedan,week,34826
mala,Little,34734
smrt,death,34648
našli,found,34592
kakva,How,34579
ovoj,to this one,34574
pitanja,questions,34468
radimo,we are working,34432
živi,Live,34405
sjećam,remember,34217
mojoj,mine,34210
moji,mine,34126
draga,dear,34091
dovraga,the hell,34077
sjećaš,Remember,33957
mjestu,place,33827
manje,less,33731
barem,at least,33696
sina,rail,33648
umrijeti,die,33361
novca,money,33340
svega,everything,33259
gospođo,Madam,33245
jack,Jack,33235
pazi,Watch out,33105
cu,Cu,32918
sobu,the room,32757
ikad,ever,32725
pitati,ask,32687
dr.,Dr.,32660
šest,six,32506
svima,to all,32465
budeš,You will,32397
istinu,truth,32313
ponovo,again,32277
kraju,end,32186
polako,slowly,32181
nje,her,32149
djecu,children,32147
prijatelja,friend,32129
oboje,both of you,32103
izgledaš,You look,31996
čujem,hear,31977
djeca,Children,31914
bojim,I'm afraid,31868
voliš,You love,31798
pitam,I ask,31758
pogledajte,Look,31692
spremni,ready,31675
želimo,we want,31578
umro,died,31515
sobi,room,31346
gospodo,gentlemen,31232
govoriš,You speak,31082
čula,heard,31065
ranije,earlier,31055
izgubio,lost,30873
dobili,got,30869
šanse,chances,30854
čim,as soon as,30799
govorim,I speak,30720
recite,Say,30711
tvog,yours,30646
odakle,where,30628
čuti,hear,30394
vodi,leads,30344
iako,although,30236
laku,light,30138
uzeo,took,30137
prijatelju,friend,29962
new,New,29859
ispod,under,29843
dajte,Come on,29834
hoćete,you will,29758
njoj,her,29747
mojim,to mine,29633
nekako,somehow,29621
njegove,his,29467
otišla,left,29449
riječi,words,29277
pokušao,tried,29174
gledati,to watch,29110
morati,have to,29101
isuse,Jesus,29070
vode,water,29060
krv,blood,28975
poruku,message,28888
aha,aha,28825
smiješno,funny,28724
dođe,comes,28697
ah,Ah,28559
dragi,darling,28546
gradu,to the city,28484
doma,home,28468
piće,drink,28385
ujutro,morning,28277
morat,Must,28236
zbilja,really,28145
živjeti,to live,27970
pokušavam,I am trying,27875
bile,were,27813
sestra,sister,27767
zanima,interested,27697
pričati,to talk,27679
drugog,the other,27645
sami,by themselves,27607
ostani,stay,27566
ostaviti,leave,27532
putu,the way,27515
jedino,Only,27450
gđo,Mrs.,27448
mrzim,I hate,27399
rat,war,27299
potrebno,needed,27279
poziv,call,27273
znali,knew,27249
ubojstvo,murder,27159
očito,obviously,27022
ostavio,left,26988
pitao,asked,26965
svojoj,his,26911
ubojica,the killer,26830
telefon,phone,26746
tražim,looking for,26668
ovome,to this,26656
mjeseci,months,26643
takav,such,26637
dogoditi,happen,26622
kuća,House,26584
nikoga,no one,26513
sigurni,safe,26385
pričaš,You talk,26369
isti,same,26293
zadnji,last,26240
deset,ten,26216
ispred,in front,26186
boli,pain,26186
uredu,Alright,26175
sastanak,meeting,26111
ondje,there,26079
nekim,to some,26072
razloga,reasons,26066
naprijed,forward,26033
postoje,exist,25981
jedina,the only one,25902
vašu,yours,25900
njegovo,his,25847
time,Time,25773
cijelu,the whole,25746
krvi,blood,25740
san,dream,25704
uradio,done,25612
govoriti,speak,25605
priliku,chance,25505
kakve,what,25498
shvaćam,I understand,25461
pre,before,25388
svim,to all,25386
neku,Some,25326
ljubavi,love,25300
jel,Jel,25227
njegovu,his,25195
zaboravi,Forget,25144
tih,quiet,25129
sva,all,25115
zemlji,country,25049
uvek,always,24961
poslu,business,24911
našu,our,24906
doista,really,24882
večer,evening,24835
čuli,heard,24786
zvao,called,24749
poslao,sent,24716
prva,the first,24685
zemlju,land,24616
lijepa,pretty,24486
tražio,sought,24411
dame,ladies,24401
jutros,this morning,24364
muž,husband,24323
igra,game,24251
zovem,I call,24219
nazvati,to call,24199
ovih,these,24171
drugu,the other,24156
miru,peace,24055
čeka,waiting,23965
stan,apartment,23896
shvatio,realized,23879
traži,Search,23830
izaći,get out,23740
ostali,the others,23716
živ,alive,23711
vijesti,news,23642
osjećaj,feeling,23581
tjedna,week,23511
pustiti,let,23504
jučer,yesterday,23397
kriv,guilty,23397
čekati,to wait,23316
odgovor,answer,23190
inače,otherwise,23161
kapetane,captains,23154
dobre,good,23140
pokazati,show,23127
odvesti,take,23118
jesmo,we're,23096
film,movie,23074
tipa,type,23055
ovi,these,23034
druga,second,22962
priču,the story,22955
jedva,barely,22953
gđice,Miss,22946
trebate,need,22942
smiri,calm down,22886
voljela,loved,22859
među,among,22854
sljedeći,following,22768
mjesec,month,22767
desilo,happened,22759
john,John,22753
onog,the one,22745
počeo,started,22732
jebeni,fucking,22707
sta,what,22691
večeru,dinner,22640
našeg,ours,22617
razumiješ,You understand,22615
obično,usually,22578
sine,Son,22557
mrtva,dead,22519
gt,gt,22454
brata,brother,22420
krevet,bed,22400
zatim,then,22397
vrsta,species,22397
piše,He writes,22381
koristi,used,22330
ostavi,leave it,22272
dolaze,are coming,22269
lud,crazy,22229
kojoj,to whom,22195
kojem,to whom,22191
spremna,ready,22171
djevojke,Girls,22111
dali,whether,22110
svakako,surely,22078
toj,to that,22028
tvom,to your,22008
gle,Look,22005
grada,of the city,21993
ući,enter,21986
umjesto,instead,21973
vašeg,yours,21959
pored,near,21955
nećete,You won't,21951
smisla,sense,21899
djece,children,21843
svijeta,the world,21705
ostalo,the rest,21673
vreme,Time,21661
kraja,the end,21648
otvori,Open,21618
čuješ,You hear,21609
dala,Dala,21586
uraditi,do,21565
razgovor,conversation,21564
zaustaviti,to stop,21556
dobri,Good,21554
moraju,they have to,21545
boga,God,21395
frank,Frank,21381
misle,they think,21355
zemlje,countries,21328
godinu,year,21315
učinila,did,21304
video,video,21302
učini,do,21275
trebaju,they need,21255
prestati,cease,21209
jebeno,Fucking,21197
kim,Kim,21196
savršeno,perfectly,21167
smijem,may I,21146
zaboravio,forgot,21139
bolji,better,21120
njen,her,21116
nova,Nova,21084
drugom,to the other,21083
htjeli,wanted,21067
završiti,to complete,21051
red,order,21038
kažete,You say,21037
brže,faster,20999
um,mind,20975
dobila,got,20956
mjeseca,month,20931
noge,legs,20916
strani,side,20908
nastavi,Continue,20872
momak,guy,20844
početi,start,20814
divno,wonderful,20809
dom,home,20794
igrati,to play,20752
strašno,passionately,20728
zabavno,fun,20728
eto,there,20721
spasiti,save,20695
prošlo,past,20692
leđa,back,20681
ured,office,20665
iskreno,sincerely,20642
doktore,Doctor,20615
školu,school,20550
hoćemo,We will,20540
the,The,20539
često,often,20536
osobno,personally,20536
roditelji,parents,20530
gospodin,sir,20529
izvan,beyond,20518
mike,Mike,20518
vidjet,to see,20514
zbogom,goodbye,20511
vjeruj,believe,20403
charlie,Charlie,20363
riješiti,solve,20350
odlazi,leave,20321
platiti,to pay,20237
zauvijek,forever,20195
željela,wanted,20194
posebno,especially,20179
ubojstva,murder,20155
poznajem,I know,20127
sretno,good luck,20126
michael,Michael,20105
ispričavam,apologize,20095
staviti,tan,20088
uspio,succeeded,20084
saznati,to find out,20064
kćer,daughter,20046
glavni,main,20030
pronašli,found,20000
otišli,left,19999
nevjerojatno,incredibly,19891
tvojim,yours,19868
sobom,to yourself,19827
čekajte,Wait,19802
oče,Father,19784
prošli,past,19758
morala,Moral,19742
nove,new ones,19736
pravila,rules,19728
kome,whom,19714
zatvoru,prison,19701
velike,big,19693
učinili,did,19690
dopustiti,allow,19685
mislili,thought,19642
policiju,police,19638
nazad,back,19638
jebi,Fuck,19636
postao,became,19625
shvatiti,to realize,19621
svakom,to everyone,19618
slušajte,listen up,19610
napravila,made,19568
brinuti,take care,19566
godinama,for years,19544
zatvor,jail,19538
sreće,happiness,19516
stara,old,19491
držati,keep,19491
pronašao,found,19468
radili,does it work,19468
promijeniti,to change,19462
kurac,dick,19419
napad,attack,19415
